race,year,wages,precarity_age,pes1_age,pes2_age,pes3_age,pes4_age,pes5_age,pes6_age,pes7_age
1,1988,15030.513425549227,3.643033260130212,0.4922258055872107,0.5131267526986752,0.48077994122591833,0.5255391966639558,0.9817606905885605,0.659360382858693,0.818556240764842
1,1990,18553.654251012147,3.6797515512280947,0.4982717572469815,0.6124682836437286,0.468275662645066,0.49940911198379884,0.9839118460998807,0.6381254791632933,0.7841477065317084
1,1992,21109.930325680725,3.778946021249344,0.5447294450080198,0.6186182696743224,0.4881255782968491,0.5382807688467631,1.004457622023507,0.6584950720768731,0.7975686603043267
1,1994,22930.3564171123,3.893482678609624,0.5613329059893061,0.640109313823535,0.5076338333155095,0.5695683857486562,1.0257688798128497,0.6722571061497316,0.8537106043850216
1,1996,26960.28956687551,3.7537650837918717,0.5320392631163147,0.600659390738221,0.4533873342141087,0.5027961363661115,0.9988613212476186,0.5925954335331028,0.7909417752655851
1,1998,29976.22095924591,3.7310960805378466,0.5486986600498935,0.5919563755198224,0.4538273030773494,0.4890299190462952,1.0085711917105675,0.5917999197393957,0.7774593755475329
1,2000,35500.86770204199,3.7409875284727914,0.5643678495829703,0.6116973048029892,0.43301608052918994,0.4777369217141135,1.0218899093759002,0.5741126957434588,0.782929402387099
1,2002,38993.68894145476,3.81143586008275,0.6100781327321152,0.5975808816380808,0.4706558430810149,0.4802812548491951,1.0473282206682248,0.5907320653163814,0.7989307693080897
1,2004,41640.71879699248,3.8870673637292947,0.6319025464060168,0.6114907116992426,0.49576131362405584,0.5077220046616505,1.070742801383452,0.6080570167218036,0.8311653565112765
1,2006,44225.12844036697,3.974029945443405,0.6503226382262983,0.6359512615902132,0.5309932920183482,0.531203126850157,1.0928258133027495,0.6194203151682046,0.8344143744036686
1,2008,47134.25234493192,4.067641305688339,0.6764488105900143,0.6587047114674703,0.5590621778819991,0.5583140198184631,1.1323224626626325,0.6408080632677761,0.8604379630559792
1,2010,48790.54421346571,4.128897733447098,0.6941465431275158,0.6752040933291944,0.570003560874961,0.5696732618057821,1.1365284128141513,0.6417117242941318,0.8971684777536414
1,2012,51895.503067484664,4.237901397190823,0.7394546447852736,0.717364507135933,0.5939078184694828,0.6078512106877733,1.185324606651596,0.6621015110429407,0.9194980482725146
1,2014,54722.05911991938,4.35466171501511,0.7773518178031589,0.7585974797111139,0.62891229475982,0.6517915265367895,1.2220040738663032,0.6910840269062701,0.9591496375209834
1,2016,54932.66746329806,4.436635561181308,0.847856754796857,0.7687837406623362,0.6383542707408564,0.6560218868897322,1.2368930260157056,0.6731045534312022,0.9532792708774237
2,1988,12428.312364425163,3.901390393709303,0.590511600289228,0.5270675259580576,0.5710352536514787,0.6182151057845188,0.9814082602313771,0.7590724528561148,0.8779413946493109
2,1990,14997.830014224752,3.993834620768134,0.6200692633712667,0.6314250285206259,0.561567133712658,0.6211203631578898,0.9973693798008487,0.7531749596728329,0.8546277071123726
2,1992,17030.189847009737,4.039326030806679,0.6609793784422834,0.6338573829624476,0.5696101066759375,0.6104334174547978,1.0230951963143224,0.7883079765646747,0.8420550892211369
2,1994,18303.954225352114,4.1892998103521215,0.6699542678169023,0.6662109661971837,0.5853987459154942,0.6585459503521137,1.0503354347887328,0.7912103956338016,0.9253905096478838
2,1996,21302.213564213565,4.053215821861477,0.6406224565656562,0.6222260901154395,0.5367943930735928,0.5958699259018786,1.02102990945166,0.7327008409812369,0.8779981129148584
2,1998,23792.73795620438,4.0632599044525595,0.6636371983211637,0.6186915413138687,0.5604703862773713,0.5831780575912413,1.0400751500729977,0.7192397389051076,0.8633692255474402
2,2000,28888.557175748272,3.9562115113584007,0.6515062004604744,0.6037580482732159,0.4946728214121267,0.5337918741366046,1.0266339379892566,0.6886326944742884,0.8183056343054407
2,2002,31179.085644371942,4.005465570146815,0.6702594657422511,0.5826517885807507,0.5141387590538331,0.5370693080750392,1.0350544346655788,0.6874901286296905,0.8499272137846592
2,2004,31759.762479871177,4.117034302173907,0.7130476644927528,0.6258517091787441,0.5571462561191626,0.5714575800322037,1.0621262252012853,0.701673524798714,0.8809003673913027
2,2006,33848.876494023905,4.289581310039846,0.7752575823904394,0.6889122668525902,0.6131656674900421,0.6287559619920329,1.117690886852584,0.7480599725099623,0.9225198234262962
2,2008,35174.801429706116,4.474877557585389,0.8231568461477385,0.7430814216838775,0.6806147959491684,0.6807185045274037,1.1550343706115893,0.7920136423351904,0.963244500000004
2,2010,36208.50493421053,4.469801385197368,0.8164206080592121,0.7427902475328944,0.6761499230263196,0.7129841139802633,1.1653979421874938,0.786036562417762,0.9812062318256597
2,2012,38346.769230769234,4.620964830769225,0.8859635099746451,0.8206998907016056,0.7160224331360996,0.7516821047337302,1.2180837778529097,0.8298293267117476,1.0267480945900285
2,2014,37215.852967227635,4.7646513343666905,0.9022904691762681,0.8490769466784754,0.7553208600531451,0.8029885397697076,1.2518523852081422,0.8623420418954788,1.0626579014171882
2,2016,39722.23938572719,4.866918913279131,0.9869541607046107,0.8707810952122829,0.7514253911472436,0.7956450839205027,1.2624687428184216,0.8504801963866269,1.0673214759710974
3,1988,10666.08396226415,4.14003307768865,0.6587216200471786,0.6006323891981118,0.6588409791037647,0.686436448632072,0.9761443935377287,0.8683131300471735,0.9475479300943329
3,1990,13049.850922858495,4.08437118324658,0.6375833677709531,0.6534495818741145,0.6126379380028346,0.6171831278277257,0.9592246331755679,0.8348838494084271,0.8825180424041551
3,1992,14273.497406883545,4.237298428099951,0.7112764661951976,0.6863435876944844,0.6491225894860905,0.6624387907119232,1.021613922489391,0.8613039700141422,0.9153546887317244
3,1994,15328.666042154568,4.435692559203742,0.7425940052927417,0.7285652395784579,0.6845157343793901,0.7228757931615895,1.0769130672131209,0.9034149924121844,0.9875865267447236
3,1996,18204.264831514,4.16550705533935,0.6682881082107253,0.6387412432842892,0.5776949278120537,0.610357695253916,1.014106709017568,0.7904971783578606,0.8909753730422322
3,1998,19757.234021632252,4.061655259193725,0.6566802567354905,0.6163384060963604,0.5560848216814145,0.572021125319566,1.0124835752704135,0.7656201598328404,0.8647277296460149
3,2000,23841.669534412955,3.9947623211032406,0.6387520624999978,0.5997051635627527,0.512882828441296,0.5333968590586995,1.00084202489879,0.7228183034412972,0.8213852159412874
3,2002,25985.712350182388,4.1315494302761655,0.6957795875977097,0.6269404077123516,0.5432508191766529,0.5616696471599744,1.042809410161549,0.7490211364773323,0.8657000287649724
3,2004,27463.8125,4.237400597268903,0.7461946343487413,0.6772165623424359,0.5903459597163863,0.5982546363445331,1.064763413865547,0.7723644545693288,0.9038070807247887
3,2006,28239.930135557872,4.376951452971833,0.791557303023984,0.7191262748696557,0.6623400380083433,0.6343900137643378,1.1041079724713179,0.8151175757560017,0.9328982647549525
3,2008,30101.59223300971,4.442502481297903,0.805204761982628,0.7390210855901888,0.6832845478283096,0.6624481203372565,1.134690946959626,0.8253115197240692,0.9384791767501365
3,2010,28889.163243812534,4.626927404528696,0.8572942047919929,0.799705948762506,0.7328937372827813,0.7238058791469271,1.1693192343338512,0.8603910637704031,1.0064241461822057
3,2012,29838.941017316018,4.797562356277042,0.9244184279761918,0.8759900528138499,0.7707813010822498,0.7932256075757652,1.2226950134199064,0.906744209469692,1.043967524512986
3,2014,29790.840571742716,4.968314627212741,0.9905944037932976,0.9493914845519484,0.8421138051676716,0.8486190923034687,1.279196551951615,0.9604950680043887,1.1067003166025338
3,2016,31985.49630471859,5.028269842353603,1.0627194134735667,0.9532528137578126,0.832635375213182,0.8526223817510004,1.2866901200113643,0.9343748047185886,1.0946048694712964
4,1988,11633.91011235955,4.140050843820227,0.582792093258427,0.5250183044943821,0.5863657876404491,0.6631683325842697,1.0163896719101118,0.834866686516854,0.9426859921348317
4,1990,15535.211764705882,3.7156119941176478,0.49223583411764704,0.4992588800000001,0.4685143105882352,0.5283625376470589,0.8693320105882352,0.6499579800000003,0.7726563376470583
4,1992,16125.373626373626,4.103535049450552,0.6122371285714282,0.6065369461538463,0.5974399901098897,0.6070280692307691,0.9491413186813183,0.7809734857142857,0.8732550769230772
4,1994,17937.362637362636,4.102620905494505,0.6689352153846151,0.6447484923076923,0.5565118747252747,0.6142314285714285,1.0084146780219776,0.7989213923076923,0.9317368681318682
4,1996,21976.30681818182,4.159786134090909,0.6530980374999996,0.6197559306818182,0.5556105102272728,0.6026801375,0.980474173863636,0.7184232931818181,0.9161075840909092
4,1998,23436.13953488372,3.9724137534883703,0.5930602116279067,0.5559380139534884,0.524732331395349,0.5600758058139533,0.9647366441860463,0.6813667023255816,0.8599458162790699
4,2000,29920.2,3.93431238875,0.6225494675000001,0.62398746,0.5653576075,0.50700608875,0.9716869362500002,0.6949036525000002,0.8488210787500003
4,2002,31331.065789473683,3.8181967789473688,0.634259975,0.5603579105263159,0.4941867684210528,0.4421595513157895,1.0242278368421052,0.6388078276315791,0.8136704789473687
4,2004,32240.4,4.311230135999999,0.7792988560000002,0.7539984493333334,0.6442556559999999,0.6660163386666664,1.1330006413333336,0.7896655146666669,0.984994650666667
4,2006,33899.68493150685,4.227732205479453,0.7564560164383562,0.7047944493150685,0.6442937246575345,0.594810332876712,1.1253856876712331,0.7126039753424656,0.9222647547945205
4,2008,35998.42307692308,4.357052875641025,0.7698646435897435,0.7001758512820516,0.6660492705128206,0.609307983333333,1.2146778038461539,0.7525573897435899,0.952112347435897
4,2010,35449.23376623377,4.356966740259738,0.7796113389610388,0.7007053597402599,0.6278218727272729,0.6271087181818179,1.1549463181818178,0.7296628194805193,0.9838635545454542
4,2012,36825.09333333333,4.4409222,0.83433158,0.7498511146666669,0.6798072213333334,0.6808144506666668,1.2448431906666664,0.7270195066666667,0.9642551239999998
4,2014,36596.605633802814,4.867212929577464,0.9858664732394364,0.9722401408450706,0.8768300845070421,0.8441331366197183,1.335753371830986,0.873702994366197,1.175869795774648
4,2016,46087.44285714286,4.785619985714287,0.9502207242857144,0.8368932714285714,0.7638259142857144,0.7701313757142859,1.268998412857143,0.8174480228571428,1.092388111428571
